,Яке найнезвичніше місце, де ви кохалися?
1,Який сексуальний акт у вас був, та більше ніколи не зробите?
2,Що вам подобається під час прелюдії?,
3,Який найкращий оргазм у вас коли-небудь був?,
4,Коли ви востаннє мастурбували?,
5,Яка улюблена позиція?,
6,Як ви себе почуваєте, торкаючись себе?
7,Що найперше інтимного ви зробили б, якби прокинулися як протилежної статі?
8,Ви віддаєте перевагу мати домінуючого, покірного або нейтрального партнера? Поясніть
9,Ви любите слухати музику, займаючись сексом?
10,Ви коли-небудь спостерігали, як інша пара займається сексом?
11,Яка найсмішніша фантазія у вас коли-небудь була, що насправді здійснилася?
12,Яким був ваш перший досвід сексу?,
13,Який найдовший проміжок часу ви були без сексу?,
14,Ви коли-небудь експериментували з особою тієї ж статі?,
15,Які найсексуальніші речі вам казали?,
16,У вас коли-небудь була історія одноденного сексу?,
17,Яка ваша таємна фантазія?,
18,Спробуйте довести до оргазму партнера за 5 хвилин.,
19,Надішліть голого селфі своєму партнеру.,
20,Отримайте задоволення протягом 5 хвилин, партнер не торгається вас нічим крім голови.
21,Зробіть секс-стрічку.,
22,Перегляньте порно відео і дійте як вони.,
23,Виконай стриптиз.,
24,Поцілуй кохання в шию.,
25,Оближи соски свого партнера.,
26,Замовте секс-іграшку онлайн.,
27,Роздягніть партнера однією рукою.,
28,Масажуйте свого партнера.,
29,Надішліть неслухняне текстове повідомлення коханню.,
30,Облизать груди партнера.,
31,Покладіть збиті вершки, або що вам до вподоби
32,Язиком поцілуй свого партнера там, де він / вона хоче.
33,Роздирайте свого партнера лише мовою, розкажи що і як ти хочеш зробити.
34,Зніміть нижню білизну партнера без рук.,
35,Надягніть очі і нехай ваш партнер робить те, що він хоче. 10 хвилин.
36,Подаруй мастурбацію.,
37,Відшльопай свого партнера.,
38,Пристрасно поцілуй свого партнера.,
39,Що найцікавіше, що ти робив під час сексу?
40,Ви коли-небудь були свідками того, що люди займаються сексом?
41,Ви залишаєте світло увімкненим чи вимкненим під час сексу?,
42,Яке улюблене місце для сексу?,
43,Неслухняні розмови викликають у вас збудження?,
44,Ви коли-небудь підробляли оргазм?,
45,Ви б краще подарували чи отримали задоволення?,
46,Ви коли-небудь фантазували про вчителя?,
47,Що найшвидше хтось завів вас у ліжко, і як?
48,Яке улюблене становище під час сексу? Поясніть, чому?
49,Який сексуальний акт ти ніколи не робиш?,
50,На чому інтимно-брудному вас хтось спіймав?,
51,Скільки сексуальних партнерів у вас було в житті?,
52,Яка ваша ситуація найбільше бентежила, перебуваючи в ліжку?
53,Ви любите секс бути грубим або чуттєвим?,
54,Ви б не хотіли бути з покірним або домінуючим партнером?,
55,Хто подарував вам перший оргазм?,
56,Ви коли-небудь були подругами? Якщо так, ким?
57,Що викликає оргазм під час сексу?,
58,Ви коли-небудь проводили оргію?,
59,Коли вперше у вас виник оргазм?,
60,Ви коли-небудь брали чиєсь дівоцтво?,
61,У вас колись був трійка?,
62,Ви коли-небудь були пов’язані? Якщо ні, ви хочете спробувати?
63,Що вас найбільше збуджує?,
64,Що найнеприємніше, що ви коли-небудь робили сексуально?
65,Ваш улюблений тип порно?,
66,Ви коли-небудь мастурбували в громадських місцях?,
67,Яке найулюбленіше місце у вас на тілі для поцілунків?,
68,Яка найулюбленіша секс іграшка, та опишіть процес?
69,Яка ваша найвиразніша сексуальна фантазія?,
70,Які ваші найбрудніші секрети?,
71,Ви коли-небудь пробували анальний секс?,
72,Яку секс-іграшку ви хочете спробувати?,
73,Ви коли-небудь робили сексуальні речі з їжею?,
74,Завдання на потім, зробіть відео де ви користуєтеся секс-іграшкою та відправте партнеру
75,Скажи мені, що ти хочеш
76,Завдання на потім. Надішліть мені відео про те, як ви робите стриптиз.
77,Замовляйте нову сексуальну нижню білизну на наступний раз.,
78,Надішліть мені відео, як ви мастурбуєте.
79,Скажи мені щось, що збудить мене.
80,Завдання на потім. Надішліть мені голосове повідомлення про те, що ви уявляєте як робите з партнером.
81,Завдання на потім/зараз. Надішліть мені своє сексуальне фото.,
82,Надішліть мені оголене селфі.,
83,Прочитайте мені еротичну історію за допомогою голосового повідомлення.,
84,Зателефонуйте мені і ввімкніть мене.,
85,Надішліть мені відео, як ви робите мінет з бананом.
86,Стогнуть так, ніби ви були в екстазі 15 секунд.
87,Що перше, що ти зробив би
88,Ви коли-небудь дозволяли комусь іншому потрапляти в халепу за щось, що ви зробили?
89,Що найприємніше, що ви коли-небудь робили?
90,Яка найсмішніша причина, вашого сексуального знущання над кимось?
91,Яка у вас найгірша звичка?,
92,Як ви думаєте, яка ваша найкраща риса? А що найгірше?
93,Що найсміливіше, що ви коли-небудь робили?
94,Про секс в якому місці ти мрієш найбільше?,
95,Якби ви збиралися заробляти гроші незаконно, як би ви це зробили?
96,Що таке дитяче, що ти все ще робиш?
97,Які дії можуть вас найбільше вразити в інтимі?,
98,Якби тобі дозволено вживати лише 3 слова до кінця вечора відтепер - що це було б?,
99,Якби ви були диктатором, який би закон ви вперше прийняли?
100,Що було найбільше бентежно у ваш шкільний час / час навчання / освіта / минулого року?,
101,Яка була найбільша помилка у вашому житті?,
102,Що б ти ніколи не робив - навіть якщо ти знаєш, що у тебе є лише ще 12 годин жити?
103,Яке правопорушення ви вчинили?,
104,Розкажи мені секрет з дитинства.,
105,Який ваш найбільший (секретний) порок?,
106,Що б ви хотіли зробити зі мною … (або особою), якби ви могли потім стерти мою (її
107,Що найгірше, що ти коли-небудь робив комусь?
108,Чи збуджує тебе як партнер задовільняє себе?,
109,Чи збуджує вас спостерігати за партнером під час самозадоволення?,
110,Як ви уявляєте найкращий секс? Опишіть.,
111,Що найгірше, що ви коли-небудь переживали?
112,Який тобі був найгірший сексуальний досвід?,
113,Ви коли-небудь пускали штани на публіці?,
114,Яка ваша найтемніша фантазія?,
115,Що найприємніше, що ви коли-небудь переживали з іншою людиною?
116,Що у сексі для вас табу? Чому?,
117,Що вам найбільше подобається у вашому тілі і що ні?,
118,Вам коли-небудь приснився еротичний сон, в якому траплявся хтось конректний?
119,Якби ви татуювали себе в області геніталій - що б там було?,
120,Що важливіше у стосунках - секс чи любов?,
121,Ви вважаєте, що секс крутий
122,Що робить вас справді хорошим у сексі?,
123,Скільки разів на тиждень / місяць ви займаєтесь сексом - і як часто ви хотіли б займатися сексом?,
124,Яка частина тіла вас найбільше збуджує?,
125,Наскільки важливий для вас розширений прелюдія?,
126,Що повинен зробити чоловік / жінка, щоб спокусити вас?
127,Який найприємніший момент у сексі ви коли-небудь мали?,
128,Ви цілком закохані, але потім він / вона йде. Що має статися
129,Що ти вважаєшь найпривабливішим у жінці - груди, попка чи обличчя?
130,Що спочатку шукаєш у партнера і що він повинен мати, щоб ти подумав: awwwww
131,Ви коли-небудь задовольняли себе думкою про один із цього раунду?,
132,Яке улюблене становище під час сексу? (своє становище),
133,Що є абсолютним табу під час сексу?,
134,Що найгарячіше, що ти коли-небудь робив?
135,Ви коли-небудь мали кіберсекс або телефонний секс - і з ким?,
136,Яке ваше найсоромніше таємне бажання?,
137,Якби ви скористувались сексом за гроші, кого ви б обрали?
138,Який був ваш наймудріший досвід сексу?,
139,Ви коли-небудь мали небезпечний секс - і як саме це було?,
140,Про що ти найбільше любиш думати, коли задовольняєш себе?
141,Ти займався сексом зі мною. Що б ти сказав мені згодом?,
142,Який найкраща позиція для сексу для вас у всій квартирі?,
143,З ким у вас був найкращий секс у житті?,
144,Ви коли-небудь платили за секс?,
145,Що найвиразніше запамяталось у сні про секс?,
146,Ви коли-небудь дивувалися під час сексу - і ким?,
147,Яка улюблена позиція?,
148,Де ваша ерогенна зона?,
149,З ким у вас було найгарячіше побачення?,
150,Ти ще діва?,
151,На туалеті: складання чи згортання туалетного паперу?,
152,Ви коли-небудь чули стогін сестри / брата?,
153,Ви коли-небудь ловили когось під час маструбації?,
154,У яких місцях ви займалися сексом?,
155,Ви коли-небудь обманювали когось?,
156,Візьміть банан або огірок і імітуйте ідеальний BlowJob.,
157,Тримайте за ерогенну частину тіла партнера, протягом 5 хвилин. Оберіть самі де.
158,Масажуйте ноги партера,
159,Зробіть танець живота протягом 1 хвилини.,
160,Обміняйте одяг з іншим гравцем прямо протилежно.,
161,Зроби 2-хвилинний масаж голови партнеру.,
162,Нагодуй партнера чимось, але сексуально.
163,Скажіть партнеру, у яких секс мріях уявляєш.
164,,
